Category,Issue_Numbers,Error_Message,Root_Cause,Frequency,Complexity,Priority,Fix_Quick,Fix_Better,Fix_Best,Diagnostic_Command,Validation_Test,Documentation_Link
Streaming,#8088,short abort signals in streamText() trigger onError() instead of onAbort(),Improper abort signal handling,HIGH,MEDIUM,CRITICAL,Check abort signal config,Add proper error boundaries,Implement error recovery with abort handling,console.log('AbortController' in globalThis),Test abort triggers onAbort not onError,https://ai-sdk.dev/docs/ai-sdk-core/streaming
Streaming,#8081,Streaming Does not work,Unknown streaming failure,HIGH,HIGH,CRITICAL,Check provider setup,Verify streaming configuration,Implement stream debugging,curl -N api/chat,Stream chunks arrive progressively,https://ai-sdk.dev/docs/ai-sdk-core/streaming
Streaming,#8005,streamText errors when using .transform in tool schema,Transform incompatible with tools,MEDIUM,HIGH,CRITICAL,Remove .transform temporarily,Separate transform from tools,Implement tool-aware transforms,grep experimental_transform,No errors with tools + transform,https://ai-sdk.dev/docs/ai-sdk-core/tools-and-tool-calling
Streaming,#7919,[CHAT_ROUTE] All setup complete. About to call streamText.. hangs,Chat route initialization hang,MEDIUM,HIGH,HIGH,Check route configuration,Add timeout handling,Implement route health checks,curl -i api/chat,Route responds within 5s,https://ai-sdk.dev/docs/getting-started
Streaming,#7900,onFinish in toUIMessageStream should be called on abort,Callback not triggered on abort,MEDIUM,MEDIUM,MEDIUM,Add abort event listener,Use proper cleanup,Implement abort-aware callbacks,Test abort signal,onFinish called on abort,https://ai-sdk.dev/docs/reference/ai-sdk-ui
Streaming,#7817,[Error: The response body is empty.],Empty response body handling,HIGH,MEDIUM,HIGH,Check response exists,Add response validation,Implement response fallbacks,curl response body,Response body not empty,https://ai-sdk.dev/docs/troubleshooting/common-issues
Tool_Calling,#8061,ModelMessage triggers UIMessage error if tool call parts include providerExecuted: null,Null value in tool parts,MEDIUM,MEDIUM,HIGH,Filter null values,Add null checks,Implement safe tool part handling,grep providerExecuted,No UI errors with tools,https://ai-sdk.dev/docs/ai-sdk-core/tools-and-tool-calling
Tool_Calling,#7857,Tool calling parts order is wrong,Incorrect tool parts sequence,MEDIUM,HIGH,HIGH,Check tool order,Implement part sorting,Use proper tool sequencing,grep tool parts order,Tools execute in correct order,https://ai-sdk.dev/docs/ai-sdk-core/tools-and-tool-calling
Tool_Calling,#7258,Unsupported tool part state: input-available,Invalid tool state,MEDIUM,MEDIUM,MEDIUM,Check tool states,Validate state transitions,Implement state machine,console.log tool states,Valid tool states only,https://ai-sdk.dev/docs/reference/ai-sdk-core/tool
Provider_Azure,#8013,Azure OpenAI Transcription 'Unrecognized file format' Error,File format not supported,LOW,LOW,MEDIUM,Check file format,Convert file format,Use supported formats,file command,File format recognized,https://ai-sdk.dev/docs/ai-sdk-providers
Provider_Gemini,#8078,Silent termination in gemini-2.5-pro without error,Provider silent failure,LOW,HIGH,HIGH,Add error logging,Implement provider health check,Use provider fallbacks,Check provider response,Provider errors logged,https://ai-sdk.dev/docs/ai-sdk-providers
Provider_Groq,#8056,Groq models receiving unsupported reasoning field causing API errors,Unsupported field sent,LOW,LOW,MEDIUM,Remove reasoning field,Filter unsupported fields,Provider-specific filtering,grep reasoning field,No unsupported fields sent,https://ai-sdk.dev/docs/ai-sdk-providers
Provider_Gemma,#8080,The gemma doesn't support generateObject JSON mode is not enabled,Feature not supported,LOW,LOW,MEDIUM,Use generateText instead,Check model capabilities,Implement capability detection,Test generateObject,Use appropriate generation method,https://ai-sdk.dev/docs/ai-sdk-core/generating-structured-data
Migration,#8052,Error Using createUIMessageStream in Migration from v4 to v5,API breaking changes,MEDIUM,MEDIUM,MEDIUM,Check migration guide,Update API calls,Use v5 patterns,grep createUIMessageStream,v5 APIs work correctly,https://ai-sdk.dev/docs/migration-guide
Type_Validation,#8079,Mixing file_search results in type validation error,Type mismatch,LOW,LOW,LOW,Fix type annotations,Use proper types,Implement type guards,tsc --noEmit,No type errors,https://ai-sdk.dev/docs/reference/ai-sdk-errors
UI_Rendering,#8089,Math rendering issues,Rendering problems,LOW,MEDIUM,LOW,Check render logic,Fix rendering component,Implement proper math rendering,Test math display,Math renders correctly,https://ai-sdk.dev/docs/ai-sdk-ui
Generic_Error,#8041,Ai SDK error,Generic SDK error,LOW,UNKNOWN,LOW,Check error details,Add error logging,Implement comprehensive error handling,grep error logs,Specific error identified,https://ai-sdk.dev/docs/reference/ai-sdk-errors
Empty_Response,#8033,Google Gemini embedding model outputDimensionality not working,Embedding configuration,LOW,LOW,MEDIUM,Check embedding config,Use correct parameters,Implement embedding validation,Test embedding output,Correct dimensions returned,https://ai-sdk.dev/docs/ai-sdk-providers
Edge_Runtime,N/A,Module not found in edge runtime,Node.js modules in edge,MEDIUM,HIGH,HIGH,Remove Node.js modules,Use edge alternatives,Implement edge-first design,grep fs path crypto,Deploys to edge successfully,https://ai-sdk.dev/docs/troubleshooting/edge-runtime
Edge_Runtime,N/A,Memory limit exceeded,Large bundle size,MEDIUM,MEDIUM,MEDIUM,Reduce bundle size,Tree shake unused code,Code splitting,next build --analyze,Under memory limits,https://vercel.com/docs/functions/edge-functions
React_Hooks,N/A,Too many re-renders,State updates in render,MEDIUM,MEDIUM,MEDIUM,Move state to useEffect,Use useMemo/useCallback,Extract custom hooks,React DevTools,No render loops,https://ai-sdk.dev/docs/reference/ai-sdk-ui/use-chat
React_Hooks,N/A,Hook called conditionally,Conditional hook usage,MEDIUM,LOW,MEDIUM,Move hooks to top level,Restructure component,Split components,ESLint exhaustive-deps,Hooks follow rules,https://ai-sdk.dev/docs/ai-sdk-ui/overview
Rate_Limiting,N/A,Rate limit exceeded,Too many requests,LOW,LOW,LOW,Add request delays,Implement exponential backoff,Use request queuing,Check rate limit headers,Requests succeed,https://ai-sdk.dev/docs/troubleshooting/common-issues
Timeout,N/A,Timeout after 30 seconds,Vercel function timeout,LOW,MEDIUM,MEDIUM,Use streaming,Break into chunks,Implement background jobs,Time request duration,Completes within timeout,https://vercel.com/docs/functions/serverless-functions
Token_Limits,N/A,Token limit reached,Context too long,LOW,MEDIUM,MEDIUM,Truncate input,Summarize context,Implement sliding window,Count tokens,Within token limits,https://ai-sdk.dev/docs/ai-sdk-core/settings
Error_Handling,N/A,Unhandled rejection,Missing try-catch,MEDIUM,LOW,MEDIUM,Add error handling,Use error boundaries,Global error handler,grep try catch,Errors caught and handled,https://ai-sdk.dev/docs/troubleshooting/common-issues