Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic,Validation,Evidence_Link
Module & DI,"Nest can't resolve dependencies of the LayoutmgmtService (?)",Missing provider registration,Add to providers array,Check module imports,Export from module,nest info,Build succeeds,https://github.com/nestjs/nest/issues/3186
Module & DI,"Circular dependency detected",Circular imports between modules,Use forwardRef() on both sides,Refactor module boundaries,Extract shared module,Check build output,No circular warnings,https://stackoverflow.com/questions/65671318
Module & DI,"ActorModule exporting itself instead of ActorService",Wrong export configuration,Add ActorService to exports array,Make module global,Import correct module,Check module structure,Provider resolves,https://github.com/nestjs/nest/issues/866
Module & DI,"Nest can't resolve dependencies when import module from index.ts",Index.ts barrel export ordering,Fix import order in index.ts,Use direct imports,Remove barrel exports,Check import statements,Module resolves correctly,https://github.com/nestjs/nest/issues/9095
Request Lifecycle,"Guard runs before middleware",Wrong order,Fix decorator placement,Use global middleware,Restructure pipeline,Add logging,Correct execution order,https://docs.nestjs.com/faq/request-lifecycle
Request Lifecycle,"Interceptor not catching errors",Missing error handling,Add exception filter,Use RxJS catchError,Wrap in try-catch,Check error flow,Errors caught properly,https://docs.nestjs.com/interceptors
Request Lifecycle,"Pipe validation fails silently",No ValidationPipe,Add global ValidationPipe,Configure transform options,Add custom pipe,Check pipe config,Validation works,https://docs.nestjs.com/pipes
Testing,"Cannot test e2e because Nestjs doesn't resolve dependencies",Missing test module configuration,Add required modules to testing module,Mock external dependencies,Use Test.createTestingModule properly,Check test setup,Module creates successfully,https://stackoverflow.com/questions/75483101
Testing,"Nest can't resolve dependencies of JwtService in unit test",Missing JWT module in test,Provide mock JWT service,Use @golevelup/ts-jest createMock,Add JwtModule to test imports,Review mock configuration,Mock returns expected values,https://stackoverflow.com/questions/62822943
Testing,"Async test timeout",Missing async handling,Add async/await,Increase timeout,Use done callback,Check async operations,Test completes,https://jestjs.io/docs/asynchronous
Testing,"E2E test fails",Wrong test database,Configure test env,Use test containers,Mock external services,Check E2E setup,E2E passes,https://docs.nestjs.com/fundamentals/testing#end-to-end-testing
Database,"[TypeOrmModule] Unable to connect to the database",Misleading generic error message,Check actual entity configuration,Verify @Column() syntax not @Column('description'),Fix connection string if needed,Review error logs for real cause,Connection establishes,https://github.com/nestjs/typeorm/issues/1151
Database,"Typeorm connection error breaks entire nestjs application on boot",Failed connection crashes whole app,Implement connection error handling,Use try-catch in useFactory,Allow app to start without failed DB,Check connection independently,App starts despite DB failure,https://github.com/nestjs/typeorm/issues/520
Database,"Cannot get two database connections working at the same time",Multiple connection configuration conflict,Use named connections,Configure separate connection names,Check ormconfig.json structure,Test each connection independently,Both connections work,https://github.com/nestjs/nest/issues/2692
Database,"ConnectionIsNotSetError: Connection with sqlite database is not established",SQLite connection configuration issue,Check connection configuration,Verify database file path,Test connection before operations,Monitor connection status,Connection establishes properly,https://github.com/typeorm/typeorm/issues/8745
Module & DI,"Can't resolve dependencies bug introduced with v6.3.1",Version-specific regression,Downgrade to previous version,Update to patched version,Use alternative injection pattern,Check version compatibility,Injection works in stable version,https://github.com/nestjs/nest/issues/2359
Module & DI,"Nest can't resolve dependencies of the UserController (?, +)",Missing service dependency,Add service to module providers,Check constructor injection,Verify service exports,Review dependency chain,Controller resolves dependencies,https://github.com/nestjs/nest/issues/886
Testing,"Nest can't resolve dependencies in the RootTestModule context when I use Bazel",Build tool configuration issue,Configure Bazel for NestJS,Use alternative build setup,Mock problematic dependencies,Check Bazel NestJS integration,Tests run with Bazel,https://stackoverflow.com/questions/62942112
Module & DI,"Nest cant resolve dependency when he actually can",Misleading error message,Check for typos in provider names,Verify circular dependencies,Review module import order,Debug with verbose logging,Dependency resolves correctly,https://github.com/nestjs/nest/issues/598
Auth,"secretOrPrivateKey must have a value",JWT secret not configured,Set JWT_SECRET environment variable,Check .env file loading,Verify ConfigModule setup,Test secret loading,JWT module configures correctly,Community reported
Testing,"Nest can't resolve dependencies of the ParametrageRepository (?). Please make sure that the argument DataSource at index [0] is available",TypeORM repository testing issue,Mock DataSource in test module,Use getRepositoryToken helper,Provide test database connection,Mock repository completely,Repository test passes,Community reported
Performance,"Memory leak detected in NestJS application",Unclosed resources or listeners,Profile memory usage with --inspect,Remove event listeners in onDestroy,Close database connections properly,Monitor heap size over time,Memory usage remains stable,Community reported
Module & DI,"More informative error message when dependencies are improperly setup",Generic error messages,Use dependency injection debugging,Add custom error messages,Implement detailed logging,Check provider registration,Error messages are helpful,https://github.com/nestjs/nest/issues/223
Auth,"Unknown authentication strategy 'jwt'",Wrong Strategy import source,Import from 'passport-jwt' not 'passport-local',Register strategy in module,Remove service dependencies from strategy,Review strategy imports,Strategy works,https://stackoverflow.com/questions/79201800
Auth,"Unauthorized 401 (Missing credentials) using Passport JWT",Secret mismatch or wrong header,Ensure JwtModule.secret matches JwtStrategy.secretOrKey,Check authorization header format,Verify token reaches server,Test with jwt.io debugger,Token validates correctly,https://stackoverflow.com/questions/74763077
Auth,"Nest.js Auth Guard JWT Authentication constantly returns 401",Token expiration or header issues,Check token expiration time,Verify header format (Bearer token),Test without nginx proxy,Increase token expiration for testing,Auth succeeds with valid token,https://stackoverflow.com/questions/62799708
Auth,"CORS blocked",CORS not configured,Enable CORS,Configure origins,Add OPTIONS handler,Check CORS headers,CORS allows request,https://docs.nestjs.com/security/cors
Validation,"DTO validation fails",Missing decorators,Add class-validator,Configure ValidationPipe,Check DTO structure,Test validation,Validation works,https://docs.nestjs.com/techniques/validation
Validation,"Transform not working",Transform not enabled,Enable transform option,Add Type decorator,Use custom transformer,Check pipe config,Transform applies,https://docs.nestjs.com/techniques/validation#transform-payload-objects
WebSocket,"Connection fails",Wrong gateway config,Check port/namespace,Configure CORS,Verify client setup,Test with wscat,Connection establishes,https://docs.nestjs.com/websockets/gateways
WebSocket,"Events not received",Wrong event name,Check event decorators,Verify namespace,Debug with logging,Monitor socket events,Events flow correctly,https://docs.nestjs.com/websockets/gateways#multiple-responses
GraphQL,"Resolver not found",Missing decorator,Add @Resolver,Check schema generation,Import GraphQL module,List resolvers,Resolver works,https://docs.nestjs.com/graphql/resolvers
GraphQL,"Schema generation fails",Type mismatch,Fix return types,Check decorators,Update schema first,Review schema output,Schema generates,https://docs.nestjs.com/graphql/quick-start
Microservices,"Message pattern not found",Pattern mismatch,Check pattern syntax,Use correct transport,Debug pattern matching,Log incoming messages,Pattern matches,https://docs.nestjs.com/microservices/basics
Microservices,"Transport connection fails",Wrong configuration,Fix transport options,Check network access,Use correct protocol,Test transport layer,Transport connects,https://docs.nestjs.com/microservices/basics#getting-started
Queue,"Job not processing",Processor not registered,Register processor,Check queue name,Verify Redis connection,Monitor queue status,Job processes,https://docs.nestjs.com/techniques/queues
Queue,"Job fails repeatedly",Error in processor,Add error handling,Implement retry logic,Check job data,Review job logs,Job succeeds,https://docs.nestjs.com/techniques/queues#error-handling
Cache,"Cache not working",Cache not configured,Configure CacheModule,Set cache store,Check TTL settings,Monitor cache hits,Cache returns data,https://docs.nestjs.com/techniques/caching
Cache,"Cache key collision",Duplicate keys,Use unique prefix,Namespace keys,Hash key values,Review key generation,No collisions,https://docs.nestjs.com/techniques/caching#customize-caching
File Upload,"Upload fails",Size limit exceeded,Increase limit,Configure Multer,Handle in chunks,Check file size,Upload succeeds,https://docs.nestjs.com/techniques/file-upload
File Upload,"File type rejected",MIME type filter,Configure file filter,Validate file type,Allow required types,Test with valid file,File accepted,https://docs.nestjs.com/techniques/file-upload#file-validation
Performance,"Memory leak",Unclosed resources,Clean up providers,Remove listeners,Profile memory usage,Monitor heap size,Memory stable,https://docs.nestjs.com/fundamentals/lifecycle-events
Performance,"Slow response",No caching,Add response cache,Optimize queries,Enable compression,Measure response time,Performance improves,https://docs.nestjs.com/techniques/performance
Performance,"High CPU usage",Inefficient code,Profile CPU usage,Optimize algorithms,Add worker threads,Monitor CPU metrics,CPU usage normal,https://docs.nestjs.com/techniques/performance
Config,"Env vars not loaded",Missing ConfigModule,Import ConfigModule,Check .env location,Set NODE_ENV,List loaded vars,Config loads,https://docs.nestjs.com/techniques/configuration
Config,"Config validation fails",Schema mismatch,Fix Joi schema,Update env vars,Add defaults,Test validation,Config validates,https://docs.nestjs.com/techniques/configuration#schema-validation
Logging,"Logs not appearing",Logger not configured,Configure logger,Set log level,Check log transport,Test logger output,Logs appear,https://docs.nestjs.com/techniques/logger
Logging,"Log format incorrect",Wrong formatter,Configure format,Use custom logger,Set timestamp format,Review log output,Format correct,https://docs.nestjs.com/techniques/logger#using-the-logger-for-application-logging
Schedule,"Cron job not running",Wrong cron expression,Fix cron syntax,Check timezone,Enable scheduler,Monitor job execution,Job runs on schedule,https://docs.nestjs.com/techniques/task-scheduling
Schedule,"Job runs multiple times",Multiple instances,Use distributed lock,Configure single instance,Check deployment,Monitor executions,Runs once only,https://docs.nestjs.com/techniques/task-scheduling#managing-job
Hot Reload,"Changes not reflected",HMR not configured,Setup webpack HMR,Use nodemon,Clear dist folder,Test file change,Reload works,https://docs.nestjs.com/recipes/hot-reload
Hot Reload,"Build errors on reload",Compilation issues,Fix TypeScript errors,Check tsconfig,Clear cache,Monitor build output,Build succeeds,https://docs.nestjs.com/recipes/hot-reload#webpack
OpenAPI,"Swagger UI not loading",Module not configured,Setup SwaggerModule,Check route path,Fix document options,Access Swagger UI,UI loads,https://docs.nestjs.com/openapi/introduction
OpenAPI,"Schema incomplete",Missing decorators,Add @ApiProperty,Document all DTOs,Generate from code,Review API schema,Schema complete,https://docs.nestjs.com/openapi/decorators